CustomerID,Age,AnnualIncome,SpendingScore
1,56,67733,26
2,46,80318,99
3,32,104474,50
4,60,38664,25
5,25,82172,24
6,38,100616,13
7,56,108264,60
8,36,41736,7
9,40,109209,57
10,28,118041,36
11,28,15854,45
12,41,105084,20
13,53,53623,65
14,57,22392,8
15,41,70680,16
16,20,61717,14
17,39,102092,76
18,19,65859,87
19,41,119095,15
20,61,41309,92
21,47,102455,98
22,55,78734,66
23,19,85467,32
24,38,67662,87
25,50,113506,63
26,29,27688,86
27,39,40342,51
28,61,52157,25
29,42,82863,58
30,44,67083,63
31,59,80733,62
32,45,104045,22
33,33,49698,58
34,32,95623,58
35,64,37671,86
36,61,40184,49
37,20,108384,52
38,54,57107,42
39,24,101202,70
40,38,66663,15
41,26,30708,54
42,56,106906,60
43,35,64811,97
44,21,17811,8
45,42,71250,53
46,31,87082,60
47,26,49754,5
48,43,110742,68
49,19,26411,6
50,37,17911,96
51,45,82270,94
52,64,98763,47
53,24,23680,99
54,61,99896,55
55,25,98879,40
56,64,86295,52
57,52,103614,16
58,31,115689,13
59,34,26111,30
60,53,52504,19
61,57,16802,17
62,21,23155,63
63,19,88656,19
64,23,54384,92
65,59,62254,58
66,21,36918,55
67,46,100981,90
68,35,75713,90
69,43,45306,62
70,61,31646,23
71,51,61843,9
72,27,111601,12
73,53,105735,1
74,31,31371,58
75,48,92371,1
76,32,17049,34
77,25,46616,96
78,31,118727,48
79,40,35932,89
80,57,44855,1
81,38,76434,16
82,33,87694,61
83,62,58016,64
84,35,22400,63
85,64,57642,69
86,41,30151,22
87,43,66407,93
88,42,81690,67
89,62,19499,76
90,58,21295,26
91,46,74040,16
92,32,27183,51
93,62,44299,86
94,18,27874,57
95,42,47711,29
96,24,20539,78
97,26,68351,92
98,41,76267,69
99,18,63354,47
100,61,17557,94
101,25,53360,62
102,41,97018,69
103,28,17200,76
104,34,83497,16
105,25,61975,90
106,52,36357,90
107,52,92505,48
108,50,17869,85
109,22,76135,39
110,59,65108,33
111,56,109179,94
112,58,105272,23
113,45,53467,10
114,24,38328,69
115,26,106412,34
116,25,101831,52
117,29,18987,95
118,51,73871,10
119,50,37399,19
120,40,61214,58
121,41,114522,96
122,54,101416,1
123,52,85271,69
124,61,59064,4
125,57,85091,16
126,39,55818,24
127,44,60525,80
128,52,34830,2
129,18,32429,92
130,52,21893,32
131,54,94909,91
132,64,62333,84
133,31,18436,24
134,20,89290,12
135,18,91213,50
136,22,20895,35
137,43,34738,33
138,31,45746,33
139,56,64377,61
140,44,63404,51
141,26,69045,43
142,32,112888,12
143,32,54790,67
144,43,20600,65
145,59,109660,33
146,30,108179,40
147,49,55764,74
148,56,89543,43
149,49,60714,44
150,21,71835,29
151,47,117946,13
152,54,88744,12
153,40,71491,95
154,56,33589,46
155,62,58484,2
156,32,97989,35
157,60,51212,87
158,46,58525,81
159,53,62202,90
160,30,47635,8
161,49,78208,93
162,24,48828,26
163,39,33711,74
164,45,18420,90
165,19,111752,34
166,59,15301,7
167,62,60236,68
168,23,81235,58
169,45,69240,75
170,45,80726,29
171,61,25492,36
172,61,116279,89
173,37,21102,21
174,47,65336,36
175,28,100314,10
176,45,41641,73
177,42,49584,24
178,56,47745,64
179,50,38093,99
180,18,81105,49
181,44,118746,99
182,30,115199,36
183,58,66885,82
184,20,51631,96
185,56,87991,24
186,23,19014,23
187,25,26093,62
188,44,33070,96
189,26,50777,37
190,54,71958,12
191,50,97074,55
192,59,25729,13
193,61,114713,23
194,41,60017,89
195,32,81320,99
196,49,42751,30
197,49,93069,17
198,41,69748,62
199,58,20801,84
200,29,34190,89
